#############
# CLUSTER 3 #
#############

attribute prevalence  =   6437 / 246973 = 0.026064
                                hogeschool utrecht        145    0.000156
                            university of plymouth        142    0.000153
                           loughborough university        134    0.000144
                             university of salford        134    0.000144
                                  sofia university        130    0.000140
                             university of colombo        128    0.000138
                                  aalto university        122    0.000131
                        hanze university groningen        121    0.000130
                  liverpool john moores university        113    0.000122
                            university of pretoria        112    0.000121
                    dublin institute of technology        105    0.000113
                                saddleback college        104    0.000112
                              universitetet i oslo        104    0.000112
  faculdade de engenharia da universidade do porto        103    0.000111
                            university of scranton        103    0.000111
                        ecpi college of technology         97    0.000105
                  wrocław university of technology         96    0.000103
                     university of south australia         95    0.000102
                        santa fe community college         93    0.000100
                           university of groningen         93    0.000100
                           city university, london         92    0.000099
                              university of bergen         91    0.000098
                       radboud university nijmegen         90    0.000097
                                             sliit         90    0.000097
                     universiti teknologi petronas         90    0.000097
                            university of tasmania         90    0.000097
                                              feup         88    0.000095
                     glasgow caledonian university         87    0.000094
                    oregon institute of technology         87    0.000094
              penn state erie, the behrend college         87    0.000094
                           universidade de coimbra         85    0.000092
                              universiteit utrecht         85    0.000092
                   vienna university of technology         85    0.000092
                                  ghent university         84    0.000091
                             singapore polytechnic         84    0.000091
                   ontario college of art & design         82    0.000088


#############
# CLUSTER 8 #
#############

attribute prevalence  =   3111 / 246973 = 0.012597
occurrence prevalence =  26771 / 928097 = 0.028845

                                     attribute  frequency  prevalence
              virginia commonwealth university        799    0.000861
                        stony brook university        734    0.000791
                             monash university        534    0.000575
       california state university, northridge        500    0.000539
                      university of louisville        487    0.000525
                           mcmaster university        469    0.000505
        university of the philippines, diliman        458    0.000493
                 grand valley state university        419    0.000451
                        wayne state university        410    0.000442
                   georgia southern university        356    0.000384
                   loyola marymount university        304    0.000328
                               oberlin college        293    0.000316
 missouri university of science and technology        290    0.000312
                              sheridan college        273    0.000294
                                  reed college        271    0.000292
                    texas christian university        268    0.000289
     university of maryland university college        255    0.000275
            university of massachusetts lowell        248    0.000267
                     university of mississippi        239    0.000258
              university of colorado at denver        237    0.000255
               university of nebraska at omaha        237    0.000255
                     university of the pacific        235    0.000253
                      staffordshire university        224    0.000241
            tennessee technological university        221    0.000238
                               de anza college        208    0.000224
                      university of st. thomas        202    0.000218
                             durham university        200    0.000215
               university of northern colorado        191    0.000206
                            miami dade college        187    0.000201
                          newcastle university        183    0.000197
                     university of strathclyde        181    0.000195
                delft university of technology        180    0.000194
                        university of manitoba        180    0.000194
                          orange coast college        177    0.000191
                     louisiana tech university        176    0.000190
                australian national university        170    0.000183
                         seton hall university        169    0.000182
                university of central oklahoma        169    0.000182
                   university of new brunswick        168    0.000181
              new york institute of technology        166    0.000179
                                le cordon bleu        163    0.000176
                    valencia community college        162    0.000175
                      colorado school of mines        161    0.000173
                              brock university        157    0.000169
                           university of tulsa        150    0.000162
               milwaukee school of engineering        148    0.000159
                              clark university        147    0.000158
                                          ucsb        146    0.000157
     southern illinois university edwardsville        144    0.000155
                christopher newport university        141    0.000152


##############
# CLUSTER 22 #
##############

attribute prevalence  =  11729 / 246973 = 0.047491
occurrence prevalence =  26119 / 928097 = 0.028143

                                         attribute  frequency  prevalence
          university of the philippines, los baños        133    0.000143
                            university of belgrade         94    0.000101
                                              uanl         69    0.000074
          national university of ireland, maynooth         65    0.000070
                                              uasd         61    0.000066
                                  binus university         60    0.000065
   pontificia universidad catolica madre y maestra         53    0.000057
                       universitas islam indonesia         53    0.000057
                              east west university         52    0.000056
                                         it telkom         52    0.000056
                universidad nacional de costa rica         44    0.000047
          university of national and world economy         43    0.000046
                  islamic university of technology         42    0.000045
                universidad del valle de guatemala         42    0.000045
                                               uni         39    0.000042
                                adamson university         34    0.000037
                                            ulacit         34    0.000037
                                  lessius mechelen         33    0.000036
                                  san beda college         33    0.000036
                           grafisch lyceum utrecht         32    0.000034
                                     htwg konstanz         32    0.000034
                        ateneo de davao university         31    0.000033
                             diponegoro university         31    0.000033
                            university of the east         31    0.000033
                                               ipb         29    0.000031
                            facultad de ingenieria         28    0.000030
               informatics institute of technology         28    0.000030
 mindanao state university - iligan institute o...         28    0.000030
    national university of sciences and technology         28    0.000030
                                university of pécs         28    0.000030
                                               bhs         27    0.000029
                     bogor agricultural university         27    0.000029
                                              chse         27    0.000029
                            university of cagliari         27    0.000029
                                 hongik university         26    0.000028
                                             mcast         26    0.000028
                                               nhh         26    0.000028
                    smk telkom sandhy putra malang         26    0.000028
                                        up diliman         26    0.000028
