#############
# CLUSTER 0 #
#############

attribute prevalence  = 106884 / 555819 = 0.192300
occurrence prevalence = 558503 / 626862 = 0.890950

                        attribute  frequency  prevalence
                mechanik-elektronik          5    0.000008
                          nová paka          5    0.000008
                             obecné          5    0.000008
    počítačové elektronické systémy          5    0.000008
                            střední          5    0.000008
                          universal          5    0.000008
                   web & multimedia          5    0.000008
         aplikace osobních počítačů          4    0.000006


##############
# CLUSTER 43 #
##############

attribute prevalence  =     38 / 555819 = 0.000068
occurrence prevalence =    705 / 626862 = 0.001125

                                         attribute  frequency  prevalence
                                           инженер         80    0.000128
                                            ученик         74    0.000118
                               theoretical physics         66    0.000105
                                         экономист         52    0.000083
                                  финансы и кредит         49    0.000078
                прикладная информатика в экономике         37    0.000059
                                             юрист         37    0.000059
                               инженер-программист         35    0.000056
 программное обеспечение вычислительной техники...         34    0.000054
                                              сапр         33    0.000053
                                        психология         30    0.000048
                                           студент         24    0.000038
              информатика и вычислительная техника         21    0.000034
                                           финансы         20    0.000032
                                         журналист         18    0.000029
                           международные отношения         17    0.000027
   управление и информатика в технических системах         14    0.000022
                                       политология         13    0.000021
                                         бухгалтер          8    0.000013
                                               ист          6    0.000010
                                          аспирант          5    0.000008
                                   теплоэнергетика          5    0.000008
                                       open source          4    0.000006
                                     преподаватель          4    0.000006
                                                ас          3    0.000005
                                      радиоинженер          3    0.000005
                           математика. информатика          2    0.000003
                                       ad designer          1    0.000002
                                     m.sc. diploma          1    0.000002
               mechanical and matematitian faculty          1    0.000002
   the software of computers and automated systems          1    0.000002
 автоматизация теплотехнических процессов и про...          1    0.000002
                         магістр прикладної фізики          1    0.000002
                         русский язык (педагогика)          1    0.000002
                           техник-эксплуатационник          1    0.000002
                                       техническая          1    0.000002
                    флорист, цветовод, озеленитель          1    0.000002
                                            чпу :)          1    0.000002


##############
# CLUSTER 32 #
##############

attribute prevalence  =     14 / 555819 = 0.000025
occurrence prevalence =    490 / 626862 = 0.000782

                     attribute  frequency  prevalence
                           普通科        239    0.000381
             computer graphics        105    0.000168
                    law school         67    0.000107
                          経済学部         62    0.000099
                     工学部　機械工学科          3    0.000005
                         工業化学科          3    0.000005
                          電気工学          3    0.000005
                       情報通信工学科          2    0.000003
 electric and photonic systems          1    0.000002
                  info. design          1    0.000002
        ph.d./computer science          1    0.000002
                         ラグビー部          1    0.000002
        短期大学部デザイン科グラフィックデザイン専攻          1    0.000002
                         経営情報学          1    0.000002


##############
# CLUSTER 17 #
##############

attribute prevalence  =    158 / 555819 = 0.000284
occurrence prevalence =    309 / 626862 = 0.000493

                                         attribute  frequency  prevalence
                                       cybernetics         31    0.000049
                  international economic relations         12    0.000019
                               strategic marketing         12    0.000019
                                          doctorat          9    0.000014
                              marketing, economics          9    0.000014
                             bachelor in marketing          7    0.000011
                                     contabilitate          7    0.000011
                                   ict engineering          7    0.000011
                                      calculatoare          6    0.000010
                                       cibernetica          6    0.000010
